"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"CPA1",0.06576581119150597,"No data","No data","No data","No data",0.12276993588100682,"No data",0.510206344069718,"carboxypeptidase A1"
"GCK",0.06572433767137653,"No data","No data","No data","No data","No data","No data",0.5405577240829702,"glucokinase"
"ONECUT1",0.06314995577836888,"No data","No data","No data","No data","No data","No data",0.5193844104169935,"one cut homeobox 1"
"MIR216A",0.0630161387487509,"No data","No data","No data","No data","No data","No data",0.5182838161540961,"microRNA 216a"
"MIR217",0.0630161387487509,"No data","No data","No data","No data","No data","No data",0.5182838161540961,"microRNA 217"
"ABCC8",0.0616291860068767,"No data","No data","No data","No data",0.19149820124766065,"No data",0.45900210611838416,"ATP binding cassette subfamily C member 8"
"AIRE",0.0615047447808486,"No data","No data","No data","No data","No data","No data",0.5058531745922595,"autoimmune regulator"
"ANXA7",0.061464774302077384,"No data","No data","No data","No data","No data","No data",0.5055244325797784,"annexin A7"
"HMGA1",0.06134500587430752,"No data","No data","No data","No data","No data","No data",0.5045393827333124,"high mobility group AT-hook 1"
"CLOCK",0.06093237398918992,"No data","No data","No data","No data","No data","No data",0.5011456421403148,"clock circadian regulator"
"IFNA1",0.06066509589150335,"No data","No data","No data","No data",0.4989473812631178,"No data","No data","interferon alpha 1"
"CREBBP",0.06054700046206434,"No data","No data","No data","No data","No data","No data",0.49797609119274316,"CREB binding protein"
"ALDH1B1",0.060232379478310026,"No data","No data","No data","No data","No data","No data",0.4953884530520998,"aldehyde dehydrogenase 1 family member B1"
"INS",0.05998303173843813,"No data","No data","No data","No data","No data","No data",0.4933376625603899,"insulin"
"INS-IGF2",0.05998303173843813,"No data","No data","No data","No data","No data","No data",0.4933376625603899,"INS-IGF2 readthrough"
"SEC23B",0.05981136642718171,"No data","No data","No data","No data","No data","No data",0.49192578055070363,"SEC23 homolog B, COPII coat complex component"
"LEP",0.059799672095100655,"No data","No data","No data","No data",0.030396539880581056,"No data",0.48423046413912624,"leptin"
"EIF2AK3",0.059729237570585104,"No data","No data","No data","No data","No data","No data",0.49125030188669067,"eukaryotic translation initiation factor 2 alpha kinase 3"
"MIR375",0.05962945100982023,"No data","No data","No data","No data","No data","No data",0.4904295953099149,"microRNA 375"
"CTSS",0.059400402449243904,"No data","No data","No data","No data","No data","No data",0.488545757861013,"cathepsin S"
"HIPK3",0.05931731002421778,"No data","No data","No data","No data","No data","No data",0.4878623542125009,"homeodomain interacting protein kinase 3"
"TLR2",0.05909032639679893,"No data","No data","No data","No data",0.04255515583281348,"No data",0.47535671109663186,"toll like receptor 2"
"SLC8A1",0.05899274704905508,"No data","No data","No data","No data","No data","No data",0.4851929469671548,"solute carrier family 8 member A1"
"CTRB2",0.0586276842814832,"No data","No data","No data","No data","No data","No data",0.48219044430561747,"chymotrypsinogen B2"
"CTRB1",0.0586276842814832,"No data","No data","No data","No data","No data","No data",0.48219044430561747,"chymotrypsinogen B1"
"CCPG1",0.05854049628732025,"No data","No data","No data","No data","No data","No data",0.48147335615590137,"cell cycle progression 1"
"ALDH1A1",0.058393617040182894,"No data","No data","No data","No data",0.4802653301131807,"No data","No data","aldehyde dehydrogenase 1 family member A1"
"ALX3",0.05806161113739113,"No data","No data","No data","No data","No data","No data",0.4775347076139085,"ALX homeobox 3"
"GCGR",0.05785317836545603,"No data","No data","No data","No data","No data","No data",0.4758204271994767,"glucagon receptor"
"CD38",0.057641419374828765,"No data","No data","No data","No data",0.1508850465738843,"No data",0.4363575282556813,"CD38 molecule"
"WFS1",0.0575810033346949,"No data","No data","No data","No data","No data","No data",0.473581890906938,"wolframin ER transmembrane glycoprotein"
"CCN2",0.05753126404591858,"No data","No data","No data","No data",0.47317280414104507,"No data","No data","cellular communication network factor 2"
"MIR216B",0.057460222584962514,"No data","No data","No data","No data","No data","No data",0.4725885150966738,"microRNA 216b"
"CACNA1E",0.05692458844834657,"No data","No data","No data","No data","No data","No data",0.4681831276848147,"calcium voltage-gated channel subunit alpha1 E"
"CTSB",0.05691244569689877,"No data","No data","No data","No data",0.15502235339096337,"No data",0.4293276698165996,"cathepsin B"
"ERO1B",0.05621848560375731,"No data","No data","No data","No data","No data","No data",0.4623756998709637,"endoplasmic reticulum oxidoreductase 1 beta"
"CADPS2",0.056183745097416936,"No data","No data","No data","No data","No data","No data",0.46208997239608623,"calcium dependent secretion activator 2"
"PGR",0.05613035107452207,"No data","No data","No data","No data","No data","No data",0.46165082682964487,"progesterone receptor"
"TNFRSF9",0.05594825946771684,"No data","No data","No data","No data","No data","No data",0.46015319249757425,"TNF receptor superfamily member 9"
"SYCN",0.0557932634487284,"No data","No data","No data","No data","No data","No data",0.4588784090880368,"syncollin"
"PRF1",0.05557254419984645,"No data","No data","No data","No data","No data","No data",0.4570630770654687,"perforin 1"
"KCNH6",0.05546375836962,"No data","No data","No data","No data","No data","No data",0.4561683549140838,"potassium voltage-gated channel subfamily H member 6"
"GLIS3",0.05523316723217514,"No data","No data","No data","No data","No data","No data",0.4542718303561013,"GLIS family zinc finger 3"
"PKD1",0.05515661081849862,"No data","No data","No data","No data","No data","No data",0.4536421829194417,"polycystin 1, transient receptor potential channel interacting"
"THRA",0.05467949349220775,"No data","No data","No data","No data","No data","No data",0.4497180740556917,"thyroid hormone receptor alpha"
"AKT2",0.05463446634657866,"No data","No data","No data","No data","No data","No data",0.4493477428781466,"AKT serine/threonine kinase 2"
"ABCB4",0.054573444606127376,"No data","No data","No data","No data",0.01823792392834863,"No data",0.4442863812486978,"ATP binding cassette subfamily B member 4"
"LEPR",0.05449552322971034,"No data","No data","No data","No data","No data","No data",0.44820498849381385,"leptin receptor"
"ICOS",0.05420227350484612,"No data","No data","No data","No data","No data","No data",0.4457931208436116,"inducible T cell costimulator"
"PAX4",0.054152254977957386,"No data","No data","No data","No data","No data","No data",0.4453817374502612,"paired box 4"
"SERTAD1",0.05399027839375615,"No data","No data","No data","No data","No data","No data",0.44404954154212833,"SERTA domain containing 1"
"UNC13A",0.0536172080626661,"No data","No data","No data","No data","No data","No data",0.4409811797108497,"unc-13 homolog A"
"AKAP5",0.053499763797732955,"No data","No data","No data","No data","No data","No data",0.4400152452213112,"A-kinase anchoring protein 5"
"MNX1",0.053387004984068655,"No data","No data","No data","No data","No data","No data",0.43908784678955476,"motor neuron and pancreas homeobox 1"
"IL33",0.053219499074597054,"No data","No data","No data","No data",0.4377101742803672,"No data","No data","interleukin 33"
"ILDR2",0.053145583103660125,"No data","No data","No data","No data","No data","No data",0.43710224348275556,"immunoglobulin like domain containing receptor 2"
"PLA2G4A",0.053144813145629535,"No data","No data","No data","No data","No data","No data",0.4370959108702805,"phospholipase A2 group IVA"
"GIPR",0.05303861026794305,"No data","No data","No data","No data","No data","No data",0.43622243252287873,"gastric inhibitory polypeptide receptor"
"NLRP1",0.052730524394635055,"No data","No data","No data","No data","No data","No data",0.43368854318450034,"NLR family pyrin domain containing 1"
"CYB5R4",0.05268807404188169,"No data","No data","No data","No data","No data","No data",0.4333394051500386,"cytochrome b5 reductase 4"
"INSM1",0.05263282801327057,"No data","No data","No data","No data","No data","No data",0.4328850275397238,"INSM transcriptional repressor 1"
"RAPGEF3",0.052532439858631125,"No data","No data","No data","No data","No data","No data",0.43205937308173414,"Rap guanine nucleotide exchange factor 3"
"BAD",0.05221198332629826,"No data","No data","No data","No data","No data","No data",0.4294237397695888,"BCL2 associated agonist of cell death"
"CHGB",0.05215634102595407,"No data","No data","No data","No data",0.024317231904464845,"No data",0.4228867949986039,"chromogranin B"
"MIR184",0.05203314774105915,"No data","No data","No data","No data","No data","No data",0.42795288497870054,"microRNA 184"
"NEUROG3",0.05182320995782694,"No data","No data","No data","No data","No data","No data",0.4262262264177509,"neurogenin 3"
"SLC2A4",0.05178265472843954,"No data","No data","No data","No data","No data","No data",0.42589267505346134,"solute carrier family 2 member 4"
"RPH3AL",0.051774647164921375,"No data","No data","No data","No data","No data","No data",0.42582681588372,"rabphilin 3A like (without C2 domains)"
"AQP7",0.05167239673845859,"No data","No data","No data","No data","No data","No data",0.4249858449470239,"aquaporin 7"
"AQP7P3",0.05167239673845859,"No data","No data","No data","No data","No data","No data",0.4249858449470239,"aquaporin 7 pseudogene 3"
"PTEN",0.051566296521842865,"No data","No data","No data","No data",0.04238628616681025,"No data",0.41351663940624966,"phosphatase and tensin homolog"
"RBM4B",0.051414512128745274,"No data","No data","No data","No data","No data","No data",0.4228648419420234,"RNA binding motif protein 4B"
"KCNB1",0.05101228605356342,"No data","No data","No data","No data","No data","No data",0.41955668518502015,"potassium voltage-gated channel subfamily B member 1"
"RBM4",0.05086178492385016,"No data","No data","No data","No data","No data","No data",0.41831887053321654,"RNA binding motif protein 4"
"RBM14-RBM4",0.05086178492385016,"No data","No data","No data","No data","No data","No data",0.41831887053321654,"RBM14-RBM4 readthrough"
"SOX9",0.050795671194289876,"No data","No data","No data","No data",0.037995674850726316,"No data",0.4082761914960044,"SRY-box transcription factor 9"
"SEC61A1",0.050734895840408405,"No data","No data","No data","No data","No data","No data",0.4172752559973165,"SEC61 translocon subunit alpha 1"
"FEM1B",0.050717032814098645,"No data","No data","No data","No data","No data","No data",0.41712833938789373,"fem-1 homolog B"
"GEM",0.050717032814098645,"No data","No data","No data","No data","No data","No data",0.41712833938789373,"GTP binding protein overexpressed in skeletal muscle"
"SLC2A2",0.050589065789414085,"No data","No data","No data","No data","No data","No data",0.4160758591945287,"solute carrier family 2 member 2"
"MYRIP",0.050358745677195976,"No data","No data","No data","No data","No data","No data",0.4141815637161374,"myosin VIIA and Rab interacting protein"
"RIMS2",0.05021481485601043,"No data","No data","No data","No data","No data","No data",0.4129977873574548,"regulating synaptic membrane exocytosis 2"
"PIK3CB",0.05010619944316142,"No data","No data","No data","No data","No data","No data",0.41210446682429763,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
"ARFGEF3",0.05004973585425127,"No data","No data","No data","No data","No data","No data",0.41164007524278884,"ARFGEF family member 3"
"GPR39",0.04986063416193758,"No data","No data","No data","No data","No data","No data",0.41008478561889905,"G protein-coupled receptor 39"
"CLDN2",0.049545592758085795,0.08149873793651459,"No data","No data","No data","No data","No data","No data","claudin 2"
"ATF4",0.04952944954771181,"No data","No data","No data","No data","No data","No data",0.4073609179062671,"activating transcription factor 4"
"NKX6-1",0.04951343442067547,"No data","No data","No data","No data","No data","No data",0.4072291995667845,"NK6 homeobox 1"
"PBX1",0.04945368567750143,"No data","No data","No data","No data",0.012158615952232422,"No data",0.403698134850657,"PBX homeobox 1"
"NEUROD1",0.049246515636736515,"No data","No data","No data","No data",0.06079307976116211,"No data",0.389835623968452,"neuronal differentiation 1"
"EPCAM",0.04911848381327522,"No data","No data","No data","No data",0.4039808807700408,"No data","No data","epithelial cell adhesion molecule"
"ZNF800",0.04900464615405953,"No data","No data","No data","No data","No data","No data",0.40304460924322444,"zinc finger protein 800"
"PAX6",0.048853785710598646,"No data","No data","No data","No data","No data","No data",0.4018038393722658,"paired box 6"
"MAFA",0.04883422877662159,"No data","No data","No data","No data","No data","No data",0.4016429910153978,"MAF bZIP transcription factor A"
"FAM3B",0.048819650904575684,"No data","No data","No data","No data","No data","No data",0.40152309355253546,"FAM3 metabolism regulating signaling molecule B"
"CIITA",0.04879932401256803,"No data","No data","No data","No data","No data","No data",0.40135591258319225,"class II major histocompatibility complex transactivator"
"TMED6",0.048550268254938835,"No data","No data","No data","No data","No data","No data",0.3993075235345731,"transmembrane p24 trafficking protein 6"
"SLC39A5",0.04854872833887764,"No data","No data","No data","No data","No data","No data",0.39929485830962275,"solute carrier family 39 member 5"
"TLE3",0.048236690014345926,"No data","No data","No data","No data","No data","No data",0.39672846156053876,"TLE family member 3, transcriptional corepressor"
"AQP12A",0.04819280240660214,"No data","No data","No data","No data","No data","No data",0.3963675026494569,"aquaporin 12A"
"AQP12B",0.04819280240660214,"No data","No data","No data","No data","No data","No data",0.3963675026494569,"aquaporin 12B"
"PRKAA2",0.04817493938029237,"No data","No data","No data","No data","No data","No data",0.396220586040034,"protein kinase AMP-activated catalytic subunit alpha 2"
"IRS1",0.04812627803275888,"No data","No data","No data","No data","No data","No data",0.3958203649316064,"insulin receptor substrate 1"
"IFT88",0.04789344272430751,"No data","No data","No data","No data","No data","No data",0.39390538291912974,"intraflagellar transport 88"
"SSTR5",0.0477704547615541,"No data","No data","No data","No data","No data","No data",0.3928938536197705,"somatostatin receptor 5"
"PKHD1",0.047744738163332315,"No data","No data","No data","No data","No data","No data",0.39268234436310145,"PKHD1 ciliary IPT domain containing fibrocystin/polyductin"
"NNAT",0.04735796257929768,"No data","No data","No data","No data","No data","No data",0.38950126202976565,"neuronatin"
"GDF11",0.047099872647442864,"No data","No data","No data","No data","No data","No data",0.387378570328105,"growth differentiation factor 11"
"E2F1",0.047026521312395035,"No data","No data","No data","No data","No data","No data",0.3867752834463085,"E2F transcription factor 1"
"RPS6KB1",0.046811805682930294,"No data","No data","No data","No data",0.030396539880581056,"No data",0.3774101939439345,"ribosomal protein S6 kinase B1"
"ATP4A",0.04619748183558772,"No data","No data",0.07599134970145263,"No data","No data","No data","No data","ATPase H+/K+ transporting subunit alpha"
"SGPP2",0.045273532198875976,"No data","No data","No data","No data","No data","No data",0.37235761353711794,"sphingosine-1-phosphate phosphatase 2"
"HHIP",0.045273532198875976,"No data","No data","No data","No data","No data","No data",0.37235761353711794,"hedgehog interacting protein"
"SMURF1",0.045088742271533616,"No data","No data","No data","No data",0.37083778654308885,"No data","No data","SMAD specific E3 ubiquitin protein ligase 1"
"HLA-DQB1",0.0446193265228173,0.0006805578954139303,"No data","No data","No data","No data","No data",0.36612632286159874,"major histocompatibility complex, class II, DQ beta 1"
"HLA-DQB2",0.04451589349677233,"No data","No data","No data","No data","No data","No data",0.36612632286159874,"major histocompatibility complex, class II, DQ beta 2"
"PRLR",0.044236450062202406,"No data","No data","No data","No data","No data","No data",0.36382800670729487,"prolactin receptor"
"RPS6",0.04379788196797656,"No data","No data","No data","No data","No data","No data",0.3602209506414659,"ribosomal protein S6"
"FFAR1",0.04322236400537587,"No data","No data","No data","No data","No data","No data",0.35548753390339544,"free fatty acid receptor 1"
"PDPK1",0.043093216378377736,"No data","No data","No data","No data","No data","No data",0.3544253437042352,"3-phosphoinositide dependent protein kinase 1"
"PDPK2P",0.043093216378377736,"No data","No data","No data","No data","No data","No data",0.3544253437042352,"3-phosphoinositide dependent protein kinase 2, pseudogene"
"HADH",0.04278810767612135,"No data","No data","No data","No data","No data","No data",0.3519159404674272,"hydroxyacyl-CoA dehydrogenase"
"FLT3",0.04245548580690512,"No data","No data","No data","No data",0.06079307976116211,"No data",0.3339819819378843,"fms related receptor tyrosine kinase 3"
"CHRM3",0.042400048828702415,"No data","No data","No data","No data",0.030396539880581056,"No data",0.34112516880982086,"cholinergic receptor muscarinic 3"
"TGFB1",0.04206436120566265,"No data","No data","No data","No data",0.3459634005294763,"No data","No data","transforming growth factor beta 1"
"VIPR1",0.04190111602487807,"No data","No data","No data","No data","No data","No data",0.3446207708960877,"vasoactive intestinal peptide receptor 1"
"NCOA5",0.04185861434158933,"No data","No data","No data","No data","No data","No data",0.344271210687461,"nuclear receptor coactivator 5"
"TET2",0.041503817681092015,"No data","No data","No data","No data","No data","No data",0.3413531428589252,"tet methylcytosine dioxygenase 2"
"AHCYL1",0.041485338688357784,"No data","No data","No data","No data","No data","No data",0.34120116015952234,"adenosylhomocysteinase like 1"
"STK26",0.04122293699153165,"No data","No data","No data","No data","No data","No data",0.3390430058280011,"serine/threonine kinase 26"
"TECR",0.041088040344571725,"No data","No data","No data","No data","No data","No data",0.3379335321223599,"trans-2,3-enoyl-CoA reductase"
"MAPK13",0.04106956135183749,"No data","No data","No data","No data","No data","No data",0.33778154942295696,"mitogen-activated protein kinase 13"
"KMT2B",0.041004884877267674,"No data","No data","No data","No data","No data","No data",0.3372496099750468,"lysine methyltransferase 2B"
"RASGRF1",0.04075541847535549,"No data","No data","No data","No data","No data","No data",0.33519784353310755,"Ras protein specific guanine nucleotide releasing factor 1"
"C1QTNF5",0.040718460489887025,"No data","No data","No data","No data","No data","No data",0.33489387813430177,"C1q and TNF related 5"
"MFRP",0.040718460489887025,"No data","No data","No data","No data","No data","No data",0.33489387813430177,"membrane frizzled-related protein"
"C3",0.040653784015317204,"No data","No data","No data","No data",0.33436193868639164,"No data","No data","complement C3"
"TNK1",0.04050595207344331,"No data","No data","No data","No data","No data","No data",0.3331460770911683,"tyrosine kinase non receptor 1"
"SCG3",0.040404317613405016,"No data","No data","No data","No data","No data","No data",0.3323101722444523,"secretogranin III"
"VAMP8",0.040328553743194655,"No data","No data","No data","No data","No data","No data",0.33168704317690045,"vesicle associated membrane protein 8"
"SPTA1",0.040212136088968974,"No data","No data","No data","No data","No data","No data",0.33072955217066213,"spectrin alpha, erythrocytic 1"
"TP53",0.03992489282823464,"No data","No data","No data","No data",0.22357000767180935,"No data",0.2724745834895286,"tumor protein p53"
"GHRL",0.03984994783137798,"No data","No data","No data","No data","No data","No data",0.3277506912623653,"ghrelin and obestatin prepropeptide"
"PFKM",0.03984994783137798,"No data","No data","No data","No data","No data","No data",0.3277506912623653,"phosphofructokinase, muscle"
"ARX",0.03984070833501085,"No data","No data","No data","No data","No data","No data",0.32767469991266374,"aristaless related homeobox"
"CCKBR",0.03979451085317528,"No data","No data","No data","No data","No data","No data",0.3272947431641565,"cholecystokinin B receptor"
"GYS2",0.03970765958732436,"No data","No data","No data","No data","No data","No data",0.32658042447696284,"glycogen synthase 2"
"ELOVL6",0.0396559184076685,"No data","No data","No data","No data","No data","No data",0.3261548729186347,"ELOVL fatty acid elongase 6"
"IRS2",0.03914774610747704,"No data","No data","No data","No data","No data","No data",0.32197534868505484,"insulin receptor substrate 2"
"SELL",0.03912002761837569,"No data","No data","No data","No data","No data","No data",0.32174737463595054,"selectin L"
"TNFRSF1A",0.039079373834360366,"No data","No data","No data","No data",0.024317231904464845,"No data",0.3153337047211478,"TNF receptor superfamily member 1A"
"COL5A3",0.03882436373462793,"No data","No data","No data","No data","No data","No data",0.31931565144550395,"collagen type V alpha 3 chain"
"KRT19",0.03868210950621834,"No data","No data","No data","No data",0.3181456644258591,"No data","No data","keratin 19"
"NKX2-2",0.03855641833998151,"No data","No data","No data","No data","No data","No data",0.31711190230416175,"NK2 homeobox 2"
"CPE",0.03853793934724728,"No data","No data","No data","No data","No data","No data",0.31695991960475894,"carboxypeptidase E"
"RNASEL",0.03840631528380786,"No data","No data","No data","No data",0.31587736165608676,"No data","No data","ribonuclease L"
"CDKN1A",0.038230982745717484,"No data","No data","No data","No data",0.3144353180980107,"No data","No data","cyclin dependent kinase inhibitor 1A"
"DACH1",0.03799280906158734,"No data","No data","No data","No data","No data","No data",0.3124764299723732,"dachshund family transcription factor 1"
"RFX6",0.037909653594283284,"No data","No data","No data","No data","No data","No data",0.31179250782506013,"regulatory factor X6"
"BAP1",0.03786715191099454,"No data","No data","No data","No data","No data","No data",0.3114429476164335,"BRCA1 associated protein 1"
"GMDS",0.03709842581325037,"No data","No data","No data","No data","No data","No data",0.3051204673212726,"GDP-mannose 4,6-dehydratase"
"SIDT2",0.037024509842313424,"No data","No data","No data","No data","No data","No data",0.304512536523661,"SID1 transmembrane family member 2"
"ELANE",0.03695798546847018,"No data","No data",0.06079307976116211,"No data","No data","No data","No data","elastase, neutrophil expressed"
"SCTR",0.03695798546847018,"No data","No data",0.06079307976116211,"No data","No data","No data","No data","secretin receptor"
"MTOR",0.03669373587237062,"No data","No data","No data","No data",0.301792046204349,"No data","No data","mechanistic target of rapamycin kinase"
"PCLAF",0.03649970644866116,"No data","No data","No data","No data","No data","No data",0.3001962278606185,"PCNA clamp associated factor"
"FOXP3",0.03649231485156745,"No data","No data","No data","No data",0.12158615952232422,"No data",0.26973889490027625,"forkhead box P3"
"PPP1R3C",0.03649231485156745,"No data","No data","No data","No data","No data","No data",0.3001354347808573,"protein phosphatase 1 regulatory subunit 3C"
"ADIPOR1",0.036484923254473764,"No data","No data","No data","No data","No data","No data",0.30007464170109616,"adiponectin receptor 1"
"CTSL",0.03610056020560168,"No data","No data","No data","No data","No data","No data",0.29691340155351575,"cathepsin L"
"CTSV",0.03610056020560168,"No data","No data","No data","No data","No data","No data",0.29691340155351575,"cathepsin V"
"IL1RL1",0.035612714797417865,"No data","No data","No data","No data","No data","No data",0.29290105828927904,"interleukin 1 receptor like 1"
"B2M",0.035612714797417865,"No data","No data","No data","No data","No data","No data",0.29290105828927904,"beta-2-microglobulin"
"IGHM",0.035612714797417865,"No data","No data","No data","No data","No data","No data",0.29290105828927904,"immunoglobulin heavy constant mu"
"SLC40A1",0.03551662403519985,"No data","No data","No data","No data","No data","No data",0.2921107482523839,"solute carrier family 40 member 1"
"CD28",0.035413141675888125,"No data","No data","No data","No data",0.04255515583281348,"No data",0.28062085617752425,"CD28 molecule"
"PPARG",0.03536879209332596,"No data","No data","No data","No data","No data","No data",0.2908948866571607,"peroxisome proliferator activated receptor gamma"
"CUL9",0.035191393763077304,"No data","No data","No data","No data","No data","No data",0.2894358527428928,"cullin 9"
"SH2B3",0.03518400216598361,"No data","No data","No data","No data","No data","No data",0.28937505966313165,"SH2B adaptor protein 3"
"SOCS1",0.03491790467061063,"No data","No data","No data","No data","No data","No data",0.2871865087917298,"suppressor of cytokine signaling 1"
"HIC1",0.034821813908392604,"No data","No data","No data","No data","No data","No data",0.2863961987548347,"HIC ZBTB transcriptional repressor 1"
"EPG5",0.03463702398105026,"No data","No data","No data","No data","No data","No data",0.28487637176080566,"ectopic P-granules autophagy protein 5 homolog"
"RB1",0.03443375506097367,"No data","No data","No data","No data",0.03343619386863916,"No data",0.27484551360021386,"RB transcriptional corepressor 1"
"NDRG2",0.03440788447114574,"No data","No data","No data","No data","No data","No data",0.2829917862882096,"NDRG family member 2"
"NF1",0.0343265769031151,"No data","No data","No data","No data","No data","No data",0.2823230624108368,"neurofibromin 1"
"SNAI1",0.03400134663099257,"No data","No data","No data","No data",0.2796481669013457,"No data","No data","snail family transcriptional repressor 1"
"THUMPD3-AS1",0.03399395503389887,"No data","No data","No data","No data","No data","No data",0.27958737382158455,"THUMPD3 antisense RNA 1"
"POC1B",0.03397917183971148,"No data","No data","No data","No data","No data","No data",0.2794657876620622,"POC1 centriolar protein B"
"ANK1",0.03348393483443398,"No data","No data","No data","No data","No data","No data",0.27539265131806434,"ankyrin 1"
"IL4",0.0334377373525984,"No data","No data","No data","No data",0.09574910062383032,"No data",0.2510754194135995,"interleukin 4"
"WNT5A",0.033262186921623166,"No data","No data","No data","No data",0.2735688589252295,"No data","No data","Wnt family member 5A"
"TGFBI",0.03315131296521775,"No data","No data","No data","No data","No data","No data",0.27265696272881207,"transforming growth factor beta induced"
"HINT2",0.032988697829156484,"No data","No data","No data","No data","No data","No data",0.2713195149740665,"histidine triad nucleotide binding protein 2"
"FHIP2B",0.03292956505240693,"No data","No data","No data","No data","No data","No data",0.27083317033597715,"FHF complex subunit HOOK interacting protein 2B"
"LCN2",0.032678250751221334,"No data","No data","No data","No data","No data","No data",0.2687662056240977,"lipocalin 2"
"PDGFRB",0.03263349052437618,"No data","No data","No data","No data",0.26839806975221064,"No data","No data","platelet derived growth factor receptor beta"
"FOXO6",0.03255998519772223,"No data","No data","No data","No data","No data","No data",0.26779351634791904,"forkhead box O6"
"FAH",0.03246389443550421,"No data","No data","No data","No data","No data","No data",0.267003206311024,"fumarylacetoacetate hydrolase"
