ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202510_s_at	0.0059078	1.03e-05	-9.573475	3.96653	-2.3891294	TNFAIP2	TNF alpha induced protein 2
202599_s_at	0.0071617	1.29e-05	-9.298115	3.77146	-1.3553618	NRIP1	nuclear receptor interacting protein 1
209774_x_at	0.0071617	1.32e-05	-9.270116	3.75124	-3.1319025	CXCL2	C-X-C motif chemokine ligand 2
205599_at	0.0074886	1.41e-05	-9.185638	3.68978	-3.4082366	TRAF1	TNF receptor associated factor 1
215495_s_at	0.0091075	1.76e-05	-8.920424	3.49245	-1.6133017	SAMD4A	sterile alpha motif domain containing 4A
215485_s_at	0.0097631	1.93e-05	-8.810468	3.40864	-2.9373589	ICAM1	intercellular adhesion molecule 1
219427_at	0.0102354	2.11e-05	8.703147	3.32567	1.5324102	FAT4	FAT atypical cadherin 4
214228_x_at	0.0102354	2.11e-05	-8.702589	3.32524	-3.012705	TNFRSF4	TNF receptor superfamily member 4
202859_x_at	0.0121206	2.56e-05	-8.481863	3.15091	-2.6156708	CXCL8	C-X-C motif chemokine ligand 8
207196_s_at	0.0121522	2.62e-05	-8.454787	3.12918	-2.3597961	TNIP1	TNFAIP3 interacting protein 1
33304_at	0.0121545	2.72e-05	-8.411503	3.09428	-1.5266736	ISG20	interferon stimulated exonuclease gene 20
220987_s_at	0.0121545	2.73e-05	-8.408015	3.09146	-2.1517534	NUAK2///AKIP1	NUAK family kinase 2///A-kinase interacting protein 1
211075_s_at	0.0124995	2.86e-05	-8.353774	3.04742	-1.3429152	CD47	CD47 molecule
201208_s_at	0.0127289	2.97e-05	-8.311286	3.01271	-1.5453036	TNFAIP1	TNF alpha induced protein 1
203810_at	0.013703	3.26e-05	8.207219	2.92687	2.0211681	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
201502_s_at	0.0148196	3.62e-05	-8.091334	2.82988	-3.1769831	NFKBIA	NFKB inhibitor alpha
216841_s_at	0.0148196	3.66e-05	-8.07929	2.81972	-2.4911003	LOC100129518///SOD2	uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial
220361_at	0.0175985	4.46e-05	7.863563	2.63488	2.8367873	IQCH	IQ motif containing H
202267_at	0.0175985	4.50e-05	-7.85313	2.62581	-1.9562143	LAMC2	laminin subunit gamma 2
217967_s_at	0.0177446	4.66e-05	-7.815213	2.59273	-1.2004118	FAM129A	family with sequence similarity 129 member A
205159_at	0.0177446	4.77e-05	-7.790459	2.57105	-1.3715621	CSF2RB	colony stimulating factor 2 receptor beta common subunit
201642_at	0.0177446	4.78e-05	-7.789179	2.56992	-1.2292494	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)
211122_s_at	0.0183281	5.06e-05	-7.727073	2.51519	-1.2486512	CXCL11	C-X-C motif chemokine ligand 11
220631_at	0.0183281	5.10e-05	7.719702	2.50866	2.6129687	OSGEPL1	O-sialoglycoprotein endopeptidase-like 1
48531_at	0.0189425	5.36e-05	-7.66779	2.46252	-1.3898087	TNIP2	TNFAIP3 interacting protein 2
210118_s_at	0.0191917	5.51e-05	-7.63737	2.43534	-1.5515564	IL1A	interleukin 1 alpha
204404_at	0.019513	5.69e-05	-7.603595	2.40502	-1.4138655	SLC12A2	solute carrier family 12 member 2
202902_s_at	0.0205623	6.09e-05	-7.532808	2.34105	-1.552791	CTSS	cathepsin S
220623_s_at	0.0210717	6.40e-05	-7.480738	2.2936	-1.7924955	TSGA10	testis specific 10
218541_s_at	0.0210717	6.51e-05	-7.462968	2.27733	-1.3959214	C8orf4	chromosome 8 open reading frame 4
204363_at	0.0210717	6.54e-05	-7.458212	2.27297	-4.3472004	F3	coagulation factor III, tissue factor
203927_at	0.0210717	6.70e-05	-7.433748	2.2505	-1.2568415	NFKBIE	NFKB inhibitor epsilon
215223_s_at	0.0210717	6.83e-05	-7.414717	2.23297	-2.2774785	LOC100129518///SOD2	uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial
215073_s_at	0.0210717	6.83e-05	7.413611	2.23195	1.2841635	NR2F2	nuclear receptor subfamily 2 group F member 2
215120_s_at	0.0210717	6.96e-05	-7.395142	2.21489	-3.0191811	SAMD4A	sterile alpha motif domain containing 4A
204204_at	0.0210717	7.11e-05	-7.372328	2.19376	-1.2721966	SLC31A2	solute carrier family 31 member 2
218736_s_at	0.0210717	7.18e-05	7.362533	2.18466	1.21872	PALMD	palmdelphin
201207_at	0.0210717	7.19e-05	-7.361719	2.18391	-1.3362936	TNFAIP1	TNF alpha induced protein 1
214968_at	0.0222306	7.68e-05	7.293731	2.12046	1.6718019	DDX51	DEAD-box helicase 51
204567_s_at	0.0235697	8.25e-05	-7.221391	2.05232	-1.93227	ABCG1	ATP binding cassette subfamily G member 1
212415_at	0.0245544	8.71e-05	7.166893	2.00054	1.991996	SEPT6	septin 6
220091_at	0.0245544	8.82e-05	-7.154752	1.98896	-1.8534466	SLC2A6	solute carrier family 2 member 6
205379_at	0.0261003	9.55e-05	-7.075096	1.91248	-1.309223	CBR3	carbonyl reductase 3
207375_s_at	0.0261003	9.61e-05	-7.069192	1.90678	-1.5895949	IL15RA	interleukin 15 receptor subunit alpha
213988_s_at	0.0281851	1.05e-04	-6.981231	1.8213	-1.3548349	SAT1	spermidine/spermine N1-acetyltransferase 1
217873_at	0.0290316	1.09e-04	-6.940415	1.7813	-1.0710431	CAB39	calcium binding protein 39
210880_s_at	0.0296192	1.13e-04	-6.909238	1.75059	-1.3451787	EFS	embryonal Fyn-associated substrate
218284_at	0.0308539	1.20e-04	-6.851529	1.69341	-1.4047357	SMAD3	SMAD family member 3
205932_s_at	0.0308539	1.20e-04	-6.846853	1.68876	-1.3765681	MSX1	msh homeobox 1
206336_at	0.0316305	1.25e-04	-6.811722	1.65372	-1.5377033	CXCL6	C-X-C motif chemokine ligand 6
213857_s_at	0.0318526	1.27e-04	-6.794057	1.63603	-1.4872489	CD47	CD47 molecule
216667_at	0.0320089	1.29e-04	6.778573	1.6205	1.8377256	ECRP	ribonuclease A family member 2 pseudogene
204286_s_at	0.0326973	1.34e-04	-6.747496	1.58922	-1.6413007	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
209544_at	0.0353673	1.46e-04	-6.662073	1.50256	-1.5170605	RIPK2	receptor interacting serine/threonine kinase 2
205298_s_at	0.0364362	1.52e-04	-6.623563	1.46317	-1.3448924	BTN2A2	butyrophilin subfamily 2 member A2
210663_s_at	0.0371363	1.58e-04	-6.587493	1.42609	-1.9300896	KYNU	kynureninase
209098_s_at	0.0371363	1.58e-04	-6.585475	1.42402	-2.3949446	JAG1	jagged 1
212642_s_at	0.0413827	1.80e-04	-6.466151	1.30003	-2.4259706	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
201473_at	0.0413827	1.80e-04	-6.464542	1.29835	-1.8941646	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit
209357_at	0.0430037	1.89e-04	6.419355	1.25087	1.4433008	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
218943_s_at	0.044145	1.96e-04	-6.385762	1.21538	-1.2583824	DDX58	DEXD/H-box helicase 58
205471_s_at	0.0449494	2.02e-04	6.359869	1.18792	1.4180014	DACH1	dachshund family transcription factor 1
204748_at	0.0454832	2.06e-04	-6.339879	1.16665	-1.7994522	PTGS2	prostaglandin-endoperoxide synthase 2
211524_at	0.0523237	2.40e-04	-6.203272	1.01979	-1.7076261	NFKB2	nuclear factor kappa B subunit 2
212587_s_at	0.0532392	2.46e-04	-6.178804	0.9932	-1.1825364	PTPRC	protein tyrosine phosphatase, receptor type C
209481_at	0.0551922	2.58e-04	6.136451	0.94697	1.1784839	SNRK	SNF related kinase
202509_s_at	0.0551922	2.65e-04	-6.113839	0.92218	-2.502299	TNFAIP2	TNF alpha induced protein 2
205479_s_at	0.0551922	2.65e-04	-6.112731	0.92096	-1.5611072	PLAU	plasminogen activator, urokinase
202688_at	0.0551922	2.65e-04	-6.112215	0.9204	-2.0560313	TNFSF10	tumor necrosis factor superfamily member 10
211427_s_at	0.0558385	2.73e-04	-6.086836	0.89248	-1.7183832	KCNJ13	potassium voltage-gated channel subfamily J member 13
201328_at	0.0558385	2.73e-04	-6.085264	0.89075	-1.0408649	ETS2	ETS proto-oncogene 2, transcription factor
206026_s_at	0.0560104	2.77e-04	-6.074378	0.87874	-1.3952006	TNFAIP6	TNF alpha induced protein 6
201662_s_at	0.0571223	2.85e-04	-6.04883	0.85049	-1.0371728	ACSL3	acyl-CoA synthetase long-chain family member 3
217204_at	0.060157	3.02e-04	5.995023	0.79069	2.6544784	MTRF1L	mitochondrial translational release factor 1 like
217371_s_at	0.0605412	3.10e-04	-5.974097	0.76731	-2.9578808	IL15	interleukin 15
208937_s_at	0.0605412	3.10e-04	5.97379	0.76697	1.6794073	ID1	inhibitor of DNA binding 1, HLH protein
207517_at	0.0615371	3.18e-04	-5.951743	0.74227	-2.311049	LAMC2	laminin subunit gamma 2
215085_x_at	0.0615727	3.23e-04	-5.937531	0.72631	-1.5281024	DLEC1	deleted in lung and esophageal cancer 1
219552_at	0.0615727	3.25e-04	-5.930876	0.71882	-2.5299904	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
204285_s_at	0.0615727	3.26e-04	-5.928626	0.71629	-2.2956695	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
212444_at	0.0640311	3.44e-04	5.883049	0.66484	2.4476258	GPRC5A	G protein-coupled receptor class C group 5 member A
219938_s_at	0.0640311	3.45e-04	-5.879699	0.66105	-0.9968483	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
202948_at	0.064391	3.50e-04	-5.867583	0.64731	-1.6663654	IL1R1	interleukin 1 receptor type 1
205034_at	0.0673073	3.69e-04	5.821963	0.5954	1.4226548	CCNE2	cyclin E2
220970_s_at	0.0742033	4.14e-04	-5.72189	0.4804	-1.5077078	KRTAP2-3///KRTAP2-4	keratin associated protein 2-3///keratin associated protein 2-4
205100_at	0.0742033	4.15e-04	-5.720316	0.47858	-1.2231588	GFPT2	glutamine-fructose-6-phosphate transaminase 2
213866_at	0.0742033	4.16e-04	-5.717039	0.47479	-1.0185094	SAMD14	sterile alpha motif domain containing 14
213506_at	0.0751486	4.27e-04	-5.695815	0.45019	-0.8522454	F2RL1	F2R like trypsin receptor 1
211113_s_at	0.0751486	4.28e-04	-5.692645	0.44651	-1.3365932	ABCG1	ATP binding cassette subfamily G member 1
221087_s_at	0.0752678	4.32e-04	-5.6846	0.43717	-2.293617	APOL3	apolipoprotein L3
202687_s_at	0.0753563	4.36e-04	-5.676963	0.42828	-1.7910578	TNFSF10	tumor necrosis factor superfamily member 10
209626_s_at	0.0756307	4.44e-04	-5.662427	0.41135	-0.8955785	OSBPL3	oxysterol binding protein like 3
210061_at	0.0756307	4.45e-04	5.660767	0.40942	1.464705	ZNF589	zinc finger protein 589
203038_at	0.0756897	4.48e-04	-5.653637	0.4011	-1.1407242	PTPRK	protein tyrosine phosphatase, receptor type K
205629_s_at	0.0763099	4.57e-04	-5.637131	0.38181	-1.5629321	CRH	corticotropin releasing hormone
214318_s_at	0.0763099	4.59e-04	5.63394	0.37808	0.9550939	FRY	FRY microtubule binding protein
217995_at	0.0795992	4.86e-04	-5.585774	0.32154	-1.3245708	SQRDL	sulfide quinone reductase-like (yeast)
218611_at	0.0795992	4.86e-04	-5.585715	0.32147	-1.1340715	IER5	immediate early response 5
210163_at	0.0816408	5.02e-04	-5.558216	0.28903	-1.4453379	CXCL11	C-X-C motif chemokine ligand 11
213094_at	0.0835455	5.17e-04	5.532744	0.25887	1.3578726	ADGRG6	adhesion G protein-coupled receptor G6
219279_at	0.0845579	5.27e-04	-5.516606	0.23971	-1.2693309	DOCK10	dedicator of cytokinesis 10
200881_s_at	0.0854084	5.41e-04	-5.496204	0.21544	-0.913616	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
211676_s_at	0.0854084	5.44e-04	-5.491356	0.20966	-1.0164348	IFNGR1	interferon gamma receptor 1
209289_at	0.0854084	5.44e-04	5.490398	0.20852	1.023839	NFIB	nuclear factor I B
203241_at	0.0875333	5.62e-04	-5.463337	0.17619	-0.9203885	UVRAG	UV radiation resistance associated
219761_at	0.0875333	5.66e-04	-5.45828	0.17014	-0.9895231	CLEC1A	C-type lectin domain family 1 member A
205798_at	0.089685	5.88e-04	-5.426677	0.13222	-2.0156491	IL7R	interleukin 7 receptor
200865_at	0.089685	5.93e-04	-5.418604	0.1225	-2.413948	EIF3F	eukaryotic translation initiation factor 3 subunit F
202270_at	0.089685	5.95e-04	-5.417006	0.12058	-1.7830886	GBP1	guanylate binding protein 1
222150_s_at	0.089685	5.96e-04	-5.415413	0.11866	-1.0679005	GSAP	gamma-secretase activating protein
213108_at	0.090682	6.06e-04	5.400707	0.10094	1.4809656	CAMK2A	calcium/calmodulin dependent protein kinase II alpha
219246_s_at	0.0912685	6.18e-04	5.385588	0.08268	1.3940325	OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2
203821_at	0.0912685	6.19e-04	-5.384384	0.08122	-1.1516727	HBEGF	heparin binding EGF like growth factor
207536_s_at	0.0923124	6.30e-04	-5.369577	0.0633	-1.2658523	TNFRSF9	TNF receptor superfamily member 9
205691_at	0.0965831	6.63e-04	-5.327059	0.01166	-1.6491969	SYNGR3	synaptogyrin 3
207616_s_at	0.0978987	6.77e-04	-5.310655	-0.00834	-0.933736	TANK	TRAF family member associated NFKB activator
218330_s_at	0.1006188	7.00e-04	-5.283	-0.04216	-1.5976512	NAV2	neuron navigator 2
204614_at	0.1007787	7.06e-04	-5.276467	-0.05017	-1.3150419	SERPINB2	serpin family B member 2
202073_at	0.1039552	7.32e-04	-5.246041	-0.08754	-1.1272058	OPTN	optineurin
218651_s_at	0.1040016	7.42e-04	-5.235174	-0.10093	-0.7809826	LARP6	La ribonucleoprotein domain family member 6
202132_at	0.1040016	7.44e-04	5.233809	-0.10261	0.7938504	WWTR1	WW domain containing transcription regulator 1
202835_at	0.1040016	7.48e-04	-5.228734	-0.10887	-2.4163248	TXNL4A	thioredoxin like 4A
206503_x_at	0.1040016	7.51e-04	-5.225284	-0.11313	-1.6639497	PML	promyelocytic leukemia
217698_at	0.1063174	7.73e-04	-5.202468	-0.14133	-2.8589337		
211668_s_at	0.1068	7.81e-04	-5.193844	-0.15201	-1.8602926	PLAU	plasminogen activator, urokinase
204959_at	0.1086513	8.00e-04	-5.174415	-0.17611	-1.5408442	MNDA	myeloid cell nuclear differentiation antigen
38241_at	0.1086513	8.07e-04	-5.167494	-0.18471	-1.6439018	BTN3A3	butyrophilin subfamily 3 member A3
202672_s_at	0.1086513	8.12e-04	-5.162712	-0.19066	-1.1384446	ATF3	activating transcription factor 3
202464_s_at	0.1086513	8.14e-04	-5.160481	-0.19343	-1.3291246	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
219477_s_at	0.1104257	8.33e-04	5.142679	-0.21561	1.544162	LOC101930578///MRPS31P5///THSD1	uncharacterized LOC101930578///mitochondrial ribosomal protein S31 pseudogene 5///thrombospondin type 1 domain containing 1
220651_s_at	0.1123776	8.52e-04	5.123883	-0.23908	1.1078557	MCM10	minichromosome maintenance 10 replication initiation factor
201471_s_at	0.1124288	8.63e-04	-5.114073	-0.25135	-1.1148093	SQSTM1	sequestosome 1
213991_s_at	0.1124288	8.63e-04	5.114053	-0.25138	1.324056	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
210044_s_at	0.1124288	8.68e-04	5.109446	-0.25715	1.2188355	LYL1	LYL1, basic helix-loop-helix family member
205534_at	0.1159739	9.00e-04	5.080053	-0.29403	1.9414068	PCDH7	protocadherin 7
208829_at	0.1178092	9.24e-04	-5.059355	-0.32009	-0.9195363	TAPBP	TAP binding protein (tapasin)
204681_s_at	0.1178092	9.25e-04	-5.058418	-0.32127	-1.1118227	RAPGEF5	Rap guanine nucleotide exchange factor 5
204549_at	0.1245704	9.84e-04	-5.009687	-0.38289	-0.9480609	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
206027_at	0.1251657	9.94e-04	-5.001447	-0.39335	-2.7597989	S100A3	S100 calcium binding protein A3
217017_at	0.127456	1.02e-03	-4.981809	-0.41832	-1.45064	OSBPL10	oxysterol binding protein like 10
213112_s_at	0.127456	1.03e-03	-4.974007	-0.42825	-3.2074156	SQSTM1	sequestosome 1
218335_x_at	0.127456	1.03e-03	-4.973907	-0.42838	-0.8185613	TNIP2	TNFAIP3 interacting protein 2
208565_at	0.1279691	1.04e-03	-4.966388	-0.43796	-1.1746881	MC5R	melanocortin 5 receptor
213839_at	0.1285554	1.05e-03	4.958465	-0.44807	1.4888061	CLMN	calmin
221521_s_at	0.1329792	1.09e-03	4.927635	-0.48751	0.9932765	GINS2	GINS complex subunit 2
201998_at	0.1341941	1.11e-03	-4.911934	-0.50765	-1.3241157	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
207017_at	0.1341941	1.12e-03	-4.908393	-0.5122	-1.7762547	RAB27B	RAB27B, member RAS oncogene family
200880_at	0.1341941	1.12e-03	-4.905204	-0.51629	-0.8065058	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
215148_s_at	0.1341941	1.13e-03	-4.900178	-0.52276	-1.0449013	APBA3	amyloid beta precursor protein binding family A member 3
209120_at	0.1341941	1.13e-03	4.899457	-0.52368	1.001681	NR2F2	nuclear receptor subfamily 2 group F member 2
221752_at	0.1348733	1.15e-03	-4.889075	-0.53704	-1.169852	SSH1	slingshot protein phosphatase 1
205414_s_at	0.1348733	1.15e-03	-4.887267	-0.53937	-1.4309752	ARHGAP44	Rho GTPase activating protein 44
204015_s_at	0.136318	1.17e-03	4.874881	-0.55534	1.8659845	DUSP4	dual specificity phosphatase 4
217077_s_at	0.1374735	1.18e-03	4.864255	-0.56905	1.0819757	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
210143_at	0.1433221	1.24e-03	-4.827907	-0.61611	-1.2889739	ANXA10	annexin A10
211814_s_at	0.1442043	1.26e-03	4.81916	-0.62746	0.8942661	CCNE2	cyclin E2
209636_at	0.1466284	1.29e-03	-4.798486	-0.65435	-3.1360658	NFKB2	nuclear factor kappa B subunit 2
203987_at	0.1466284	1.29e-03	-4.798359	-0.65451	-1.0163029	FZD6	frizzled class receptor 6
222085_at	0.1498209	1.32e-03	4.777837	-0.68127	1.7103878	FAM174B	family with sequence similarity 174 member B
202727_s_at	0.1520664	1.35e-03	-4.762501	-0.70131	-1.1098951	IFNGR1	interferon gamma receptor 1
206289_at	0.1522106	1.36e-03	-4.756681	-0.70893	-0.9457515	HOXA4	homeobox A4
204533_at	0.1522106	1.38e-03	-4.745105	-0.72409	-1.3522721	CXCL10	C-X-C motif chemokine ligand 10
213338_at	0.1522106	1.41e-03	-4.731815	-0.74152	-1.9652554	TMEM158	transmembrane protein 158 (gene/pseudogene)
212230_at	0.1522106	1.41e-03	-4.728447	-0.74594	-0.8272396	PLPP3	phospholipid phosphatase 3
219274_at	0.1522106	1.42e-03	4.726741	-0.74818	1.8967787	TSPAN12	tetraspanin 12
213457_at	0.1522106	1.42e-03	-4.724661	-0.75092	-1.0357216	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
209147_s_at	0.1522106	1.43e-03	-4.717502	-0.76033	-0.8612746	PLPP1	phospholipid phosphatase 1
221735_at	0.1522106	1.43e-03	-4.717309	-0.76058	-2.5647394	WDR48	WD repeat domain 48
203697_at	0.1522106	1.43e-03	-4.717131	-0.76082	-1.5436085	FRZB	frizzled-related protein
203480_s_at	0.1522106	1.44e-03	-4.715091	-0.7635	-0.8247719	OTUD4	OTU deubiquitinase 4
202076_at	0.1522106	1.44e-03	-4.714714	-0.764	-0.842047	BIRC2	baculoviral IAP repeat containing 2
218429_s_at	0.1522106	1.44e-03	-4.713824	-0.76517	-0.8002612	C19orf66	chromosome 19 open reading frame 66
205994_at	0.1522106	1.44e-03	4.712089	-0.76745	1.7184318	ELK4	ELK4, ETS transcription factor
208023_at	0.1522106	1.45e-03	4.709429	-0.77095	1.8503659	TNFRSF4	TNF receptor superfamily member 4
209710_at	0.1522762	1.46e-03	4.705506	-0.77612	0.7605546	GATA2	GATA binding protein 2
222351_at	0.1532676	1.48e-03	-4.694795	-0.79023	-1.8546935	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta
210257_x_at	0.1532676	1.48e-03	4.693422	-0.79204	0.7996336	CUL4B	cullin 4B
219202_at	0.1538354	1.50e-03	-4.681224	-0.80814	-0.9741932	RHBDF2	rhomboid 5 homolog 2
221374_at	0.1538354	1.50e-03	4.68051	-0.80908	0.6911467	FGF16	fibroblast growth factor 16
212192_at	0.1538354	1.51e-03	4.680046	-0.8097	1.1848367	KCTD12	potassium channel tetramerization domain containing 12
221477_s_at	0.1554972	1.55e-03	-4.658965	-0.83758	-2.3437708	LOC100129518///SOD2	uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial
205345_at	0.1554972	1.55e-03	4.656797	-0.84046	2.0226723	BARD1	BRCA1 associated RING domain 1
221571_at	0.1554972	1.56e-03	-4.655191	-0.84258	-0.935059	TRAF3	TNF receptor associated factor 3
36564_at	0.1554972	1.56e-03	-4.655097	-0.84271	-1.0888956	RNF19B	ring finger protein 19B
212925_at	0.1554972	1.56e-03	-4.652404	-0.84628	-1.5398899	MISP	mitotic spindle positioning
205395_s_at	0.1554972	1.56e-03	4.651238	-0.84782	0.8778975	MRE11A	MRE11 homolog A, double strand break repair nuclease
218613_at	0.1565295	1.59e-03	4.636416	-0.86749	0.7966844	PSD3	pleckstrin and Sec7 domain containing 3
216464_x_at	0.1565295	1.59e-03	4.636139	-0.86785	1.0035152	PTGDR2	prostaglandin D2 receptor 2
45653_at	0.1565295	1.59e-03	-4.636131	-0.86787	-0.7454795	KCTD13	potassium channel tetramerization domain containing 13
202330_s_at	0.1592222	1.63e-03	4.619891	-0.88945	0.7129086	UNG	uracil DNA glycosylase
203045_at	0.1600566	1.64e-03	-4.612631	-0.89912	-0.8457829	NINJ1	ninjurin 1
209885_at	0.1609655	1.66e-03	4.605062	-0.9092	1.0039581	RHOD	ras homolog family member D
211508_s_at	0.1612912	1.67e-03	-4.600261	-0.9156	-1.7695156	GH2	growth hormone 2
207121_s_at	0.1623595	1.69e-03	-4.592023	-0.9266	-0.8738004	MAPK6	mitogen-activated protein kinase 6
218854_at	0.1633045	1.71e-03	-4.584407	-0.93677	-0.7978504	DSE	dermatan sulfate epimerase
212898_at	0.166647	1.75e-03	4.565935	-0.96148	0.8283356	TTI1	TELO2 interacting protein 1
203708_at	0.1682333	1.77e-03	-4.555612	-0.97531	-0.6689535	PDE4B	phosphodiesterase 4B
204224_s_at	0.168249	1.78e-03	-4.55198	-0.98018	-0.7273853	GCH1	GTP cyclohydrolase 1
215219_at	0.168249	1.80e-03	4.546771	-0.98717	1.1472474	DOPEY2	dopey family member 2
206542_s_at	0.168249	1.80e-03	4.544763	-0.98987	1.0479049	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
204844_at	0.168249	1.80e-03	4.542876	-0.9924	2.0322235	ENPEP	glutamyl aminopeptidase
208543_at	0.1706823	1.84e-03	4.528987	-1.01107	0.8852651	OR10H2	olfactory receptor family 10 subfamily H member 2
